Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Death,Total Deaths
30-Jan,1,1,0,0,0,0
31-Jan,0,1,0,0,0,0
01-Feb,0,1,0,0,0,0
02-Feb,1,2,0,0,0,0
03-Feb,1,3,0,0,0,0
04-Feb,0,3,0,0,0,0
05-Feb,0,3,0,0,0,0
06-Feb,0,3,0,0,0,0
07-Feb,0,3,0,0,0,0
08-Feb,0,3,0,0,0,0
09-Feb,0,3,0,0,0,0
10-Feb,0,3,0,0,0,0
11-Feb,0,3,0,0,0,0
12-Feb,0,3,0,0,0,0
13-Feb,0,3,1,1,0,0
14-Feb,0,3,0,1,0,0
15-Feb,0,3,0,1,0,0
16-Feb,0,3,1,2,0,0
17-Feb,0,3,0,2,0,0
18-Feb,0,3,0,2,0,0
19-Feb,0,3,0,2,0,0
20-Feb,0,3,1,3,0,0
21-Feb,0,3,0,3,0,0
22-Feb,0,3,0,3,0,0
23-Feb,0,3,0,3,0,0
24-Feb,0,3,0,3,0,0
25-Feb,0,3,0,3,0,0
26-Feb,0,3,0,3,0,0
27-Feb,0,3,0,3,0,0
28-Feb,0,3,0,3,0,0
29-Feb,0,3,0,3,0,0
01-Mar,0,3,0,3,0,0
02-Mar,2,5,0,3,0,0
03-Mar,1,6,0,3,0,0
04-Mar,22,28,0,3,0,0
05-Mar,2,30,0,3,0,0
06-Mar,1,31,0,3,0,0
07-Mar,3,34,0,3,0,0
08-Mar,5,39,0,3,0,0
09-Mar,9,48,0,3,0,0
10-Mar,15,63,1,4,0,0
11-Mar,8,71,0,4,0,0
12-Mar,10,81,0,4,1,1
13-Mar,10,91,6,10,0,1
14-Mar,11,102,0,10,1,2
15-Mar,10,112,3,13,0,2
16-Mar,14,126,1,14,0,2
17-Mar,20,146,1,15,1,3
18-Mar,25,171,0,15,0,3
19-Mar,27,198,5,20,1,4
20-Mar,58,256,3,23,0,4
21-Mar,78,334,0,23,0,4
22-Mar,69,403,0,23,3,7
23-Mar,94,497,2,25,2,9
24-Mar,74,571,15,40,1,10
25-Mar,86,657,3,43,1,11
26-Mar,73,730,7,50,5,16
27-Mar,153,883,25,75,3,19
28-Mar,136,1019,10,85,5,24
29-Mar,120,1139,17,102,3,27
30-Mar,187,1326,35,137,16,43
31-Mar,309,1635,13,150,6,49
01-Apr,424,2059,19,169,7,56
02-Apr,486,2545,22,191,16,72
03-Apr,560,3105,39,230,14,86
04-Apr,579,3684,56,286,13,99
05-Apr,605,4289,43,329,22,121
06-Apr,489,4778,65,394,16,137
07-Apr,573,5351,75,469,27,164
08-Apr,565,5916,96,565,20,184
09-Apr,813,6729,70,635,46,230
10-Apr,871,7600,151,786,22,252
11-Apr,854,8454,186,972,40,292
12-Apr,438,9204,51,1080,4,327